index,inventory_id,set_num,quantity,index_inventories,id,version,set_num_inventories,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id,index_sets,name_sets,year_sets,theme_id_sets,num_parts_sets,index_themes_sets,id_sets,name_themes_sets,parent_id_sets
70,305,6299-24,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6047,Advent Calendar 2009 Pirates (Day 23) - Brick Arch with Fire and Skull,2009,224,12,212,224,Pirates,217.0
71,305,6299-25,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6048,Advent Calendar 2009 Pirates (Day 24) - Treasure Chest with Gems,2009,224,8,212,224,Pirates,217.0
72,305,6299-3,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6049,Advent Calendar 2009 Pirates (Day  2) - Table with Lamp and Map,2009,224,9,212,224,Pirates,217.0
73,305,6299-4,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6050,Advent Calendar 2009 Pirates (Day  3) - Parrot on Perch,2009,224,7,212,224,Pirates,217.0
74,305,6299-5,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6051,Advent Calendar 2009 Pirates (Day  4) - Imperial Soldier II Officer,2009,224,6,212,224,Pirates,217.0
75,305,6299-6,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6052,Advent Calendar 2009 Pirates (Day  5) - Cannon,2009,224,8,212,224,Pirates,217.0
76,305,6299-7,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6053,Advent Calendar 2009 Pirates (Day  6) - Crocodile,2009,224,3,212,224,Pirates,217.0
77,305,6299-8,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6054,Advent Calendar 2009 Pirates (Day  7) - Pirate Female,2009,224,5,212,224,Pirates,217.0
78,305,6299-9,1,207,305,1,6299-1,6031,Advent Calendar 2009 Pirates,2009,215,24,203,215,Pirates,207.0,6055,Advent Calendar 2009 Pirates (Day  8) - Raft with Flagpole,2009,224,8,212,224,Pirates,217.0
79,309,4515-1,7,210,309,1,K4515-1,11248,Ultimate Track Kit,1992,244,15,231,244,9V,241.0,4114,Straight Rails,1991,244,8,231,244,9V,241.0
80,309,4520-1,5,210,309,1,K4515-1,11248,Ultimate Track Kit,1992,244,15,231,244,9V,241.0,4117,Curved Rails,1991,244,8,231,244,9V,241.0
81,309,4531-1,3,210,309,1,K4515-1,11248,Ultimate Track Kit,1992,244,15,231,244,9V,241.0,4160,Manual Points,1991,244,6,231,244,9V,241.0
82,311,8593-1,1,212,311,1,10201-1,183,Takutanuva,2003,347,3,310,347,Titans,324.0,9860,Makuta,2003,347,199,310,347,Titans,324.0
83,311,8596-1,1,212,311,1,10201-1,183,Takutanuva,2003,347,3,310,347,Titans,324.0,9863,Takanuva,2003,347,200,310,347,Titans,324.0
84,398,71010-1,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7472,Wolf Guy,2015,552,6,466,552,Series 14 Minifigures,535.0
85,398,71010-10,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7473,Gargoyle,2015,552,6,466,552,Series 14 Minifigures,535.0
86,398,71010-11,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7474,Skeleton Guy,2015,552,6,466,552,Series 14 Minifigures,535.0
87,398,71010-12,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7475,Monster Rocker,2015,552,6,466,552,Series 14 Minifigures,535.0
88,398,71010-13,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7476,Zombie Businessman,2015,552,7,466,552,Series 14 Minifigures,535.0
89,398,71010-14,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7477,Banshee,2015,552,5,466,552,Series 14 Minifigures,535.0
90,398,71010-15,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7478,Square Foot,2015,552,5,466,552,Series 14 Minifigures,535.0
91,398,71010-16,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7479,Spider Lady,2015,552,7,466,552,Series 14 Minifigures,535.0
92,398,71010-2,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7482,Zombie Pirate,2015,552,7,466,552,Series 14 Minifigures,535.0
93,398,71010-3,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7483,Monster Scientist,2015,552,6,466,552,Series 14 Minifigures,535.0
94,398,71010-4,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7484,Wacky Witch,2015,552,8,466,552,Series 14 Minifigures,535.0
