"index","id","version","set_num"
"944","1359","1","991464-1"
"945","1360","1","30250-1"
"946","1363","1","330-3"
"947","1364","1","76011-1"
"948","1365","1","656-1"
"949","1366","1","1125-1"
"950","1368","1","30522-1"
"951","1369","1","7152-1"
"952","1371","1","1978-2"
"953","1373","1","kabcity-1"
"954","1374","1","9607-1"
"955","1375","1","5058-1"
"956","1377","1","3756-1"
"957","1379","1","341-1"
"958","1380","1","6045-1"
"959","1381","1","7802-1"
"960","1384","1","102A-2"
"961","1386","1","75023-15"
"962","1387","1","6923-1"
"963","1388","1","76013-1"
"964","1389","1","4519-1"
"965","1390","1","4186876-1"
"966","1391","1","9509-10"
"967","1392","1","3080-1"
"968","1393","1","9526-1"
"969","1394","1","11908-1"
"970","1398","1","Dallas-1"
"971","1399","1","8075-1"
"972","1401","1","66117-1"
"973","1402","1","6359-1"
"974","1405","1","6883-1"
"975","1406","1","6382-1"
"976","1407","1","165-1"
"977","1408","1","852697-1"
"978","1409","1","10127-1"
"979","1410","1","14-1"
"980","1411","1","2182-1"
"981","1412","1","41528-1"
"982","1414","1","0012-1"
"983","1416","1","5933-1"
"984","1418","1","K5613-1"
"985","1419","1","6633-1"
"986","1420","1","4258-1"
"987","1421","1","66377-1"
"988","1422","1","75036-1"
"989","1426","1","4431-1"
"990","1427","1","4430-1"
"991","1428","1","4755-1"
"992","1429","1","2250-8"
"993","1431","1","8853-1"
"994","1432","1","5764-1"
"995","1433","1","9615-1"
"996","1434","1","4106-1"
"997","1435","1","1250-1"
"998","1436","1","4799-1"
"999","1437","1","6811-1"
"1000","1438","1","K8148-1"
"1001","1439","1","8496-1"
"1002","1440","1","3053-1"
"1003","1441","1","8677-1"
"1004","1442","1","8890-1"
"1005","1443","1","5001383-1"
"1006","1444","1","8193-1"
"1007","1445","1","5004590-1"
"1008","1447","1","9748-1"
"1009","1448","1","1217-1"
"1010","1449","1","41532-1"
"1011","1450","1","878-1"
"1012","1452","1","8676-1"
"1013","1453","1","DKCity-1"
"1014","1454","1","6879-1"
"1015","1456","1","890-1"
"1016","1457","1","6282-1"
"1017","1459","1","5004363-1"
"1018","1460","1","30067-1"
"1019","1461","1","4182-1"
"1020","1462","1","5316-1"
"1021","1465","1","41073-1"
"1022","1466","1","4946-1"
"1023","1469","1","4176-1"
"1024","1470","1","8511-1"
"1025","1471","1","6336-1"
"1026","1472","1","6499-1"
"1027","1475","1","383-1"
"1028","1476","1","7116-1"
"1029","1478","1","71017-4"
"1030","1479","1","852702-1"
"1031","1480","1","325-3"
"1032","1481","1","7586-1"
"1033","1482","1","8567-1"
"1034","1483","1","9964-1"
"1035","1484","1","6464-1"
"1036","1485","1","70314-1"
"1037","1486","1","30020-1"
"1038","1487","1","comcon022-1"
"1039","1489","1","3450-1"
"1040","1491","1","60024-4"
