index,id,version,set_num,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id
62,95,1,7575-18,8294,Advent Calendar 2004 Clikits (Day 17) Bangle,2004,222,2,210,222,Clikits,217.0
63,96,1,10008-1,33,2 x 4 Roof Tile Sand Red,2001,254,50,517,254,Bulk Bricks,
64,98,1,2856226-1,1867,"Magnet Set, Minifig Retro Classic Space Astronaut - with 2 x 4 Brick Base (Bricktober Week 4)",2011,501,3,584,501,Gear,
65,99,1,521-15,5058,1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version),1962,252,82,516,252,Architecture,
66,100,1,71217-1,7642,LEGO® DIMENSIONS™ Zane Fun Pack,2015,604,46,608,604,Dimensions,
67,101,1,8302-1,9336,Rod Rider,2011,120,47,115,120,Tiny Turbos,112.0
68,102,1,8803-5,10129,Snowboarder - Complete Set,2011,538,7,452,538,Series 3 Minifigures,535.0
69,103,1,4411-1,3967,Blue Strata XXL,2004,37,1200,34,37,Basic Set,22.0
70,104,1,K4103-1,11237,Creator Bucket bundled with 4782 (TRU Exclusive),2005,37,2,34,37,Basic Set,22.0
71,105,1,6579-1,6405,Ice Surfer,2000,51,42,47,51,Arctic,50.0
72,106,1,71007-6,7428,Space Miner,2014,548,9,462,548,Series 12 Minifigures,535.0
73,110,1,657-1,6389,Executive Jet,1974,412,36,355,412,Airport,411.0
74,111,1,991451-1,10996,Tracks,2009,525,120,440,525,Technic,524.0
75,112,1,4748-1,4377,Ogel's Mountain Fortress,2004,306,413,274,306,Mission Deep Freeze,304.0
76,113,1,3027-1,2119,25th Anniversary Silver Bucket,1998,399,418,551,399,Freestyle,
77,115,1,6167-1,5908,Deluxe Brick Box,2006,37,693,34,37,Basic Set,22.0
78,116,1,561508-1,5327,Turtle’s island,2015,494,19,581,494,Friends,
79,118,1,4449-1,4027,Coca-Cola Defender 4,2002,462,4,392,462,Soccer,458.0
80,119,1,323-1,2381,Train,1964,380,253,340,380,Train,373.0
81,122,1,66177-1,6462,City Rescue Pack,2007,52,0,48,52,City,50.0
82,123,1,41135-1,3503,Livi’s Pop Star House,2016,494,596,581,494,Friends,
83,125,1,2158-1,1563,Helicopter,2000,467,10,394,467,Basic,465.0
84,126,1,970654-1,10832,9-Volt Connecting Leads (One each of 128mm 256 mm 1280 mm),2002,525,3,440,525,Technic,524.0
85,127,1,2156-1,1561,Car,2000,467,17,394,467,Basic,465.0
86,128,1,4094-1,3308,Motor Movers,2003,406,256,555,406,Inventor,
87,131,1,66358-1,6521,City Super Pack 3 in 1 (7634 7635 7684),2010,57,3,53,57,Farm,52.0
88,132,1,6523-1,6312,Red Cross,1987,78,51,74,78,Hospital,67.0
89,136,1,8223-1,9263,Hydrofoil 7 / Powerboat Columbia,1996,10,123,8,10,Harbor,5.0
90,137,1,30301-1,2141,Batwing,2014,484,45,405,484,Batman,482.0
91,138,1,520-13,5034,2 x 2 Plates - Trans-Clear (architectural hobby und modelbau version),1962,252,42,516,252,Architecture,
92,140,1,508-1,4901,Basic Building Set,1985,467,66,394,467,Basic,465.0
93,142,1,3420-1,2526,Championship Challenge II,2002,462,387,392,462,Soccer,458.0
94,143,1,7138-1,7707,Rahkshi,2010,345,18,308,345,Stars,324.0
95,145,1,41562-1,3672,Trumpsy,2016,587,54,489,587,Series 7,580.0
96,146,1,18703535-1,1239,Hamster Play Time - Friends Magazine - Polish Edition,2016,497,25,582,497,Books,
97,147,1,1141-1,550,Wheel Bricks with Small Red Train Wheels,1981,456,2,387,456,Train,443.0
98,148,1,76008-1,8405,Iron Man vs. The Mandarin: Ultimate Showdown,2013,490,91,411,490,Iron Man,482.0
99,151,1,7048-1,7146,Troll Warship,2008,193,490,183,193,Fantasy Era,186.0
100,152,1,76015-1,8414,Doc Ock Truck Heist,2014,488,236,409,488,Spider-Man,482.0
101,153,1,60018-1,5566,Cement Mixer,2013,56,220,52,56,Construction,52.0
102,154,1,3859-1,2916,Caverns of Nathuz,2011,502,223,419,502,Game,501.0
103,155,1,10175-1,157,Vader's TIE Advanced - UCS,2006,174,1211,165,174,Star Wars Episode 4/5/6,171.0
104,158,1,702-3,7068,Motor Wires,1984,443,2,570,443,Service Packs,
105,159,1,7740-1,8651,Inter-City Passenger Train,1980,234,784,221,234,12V,233.0
106,162,1,5645-1,5349,Farm Bike,2010,504,9,585,504,Duplo,
107,163,1,30314-1,2151,Go-Kart Racer,2015,63,45,59,63,Traffic,52.0
108,164,1,238-1,1672,Lego System Idea Book no. 1,1960,497,0,582,497,Books,
109,165,1,2852724-1,1835,Accelerometer Sensor for Mindstorms NXT,2011,259,0,242,259,NXT,258.0
110,166,1,6745-1,6683,Propellor Power,2009,42,247,39,42,Airport,38.0
111,168,1,1701-1,1116,Basic Building Set Trial Size,1994,467,26,394,467,Basic,465.0
112,169,1,6299-13,6035,Advent Calendar 2009 Pirates (Day 12) - Fish over Fire,2009,224,9,212,224,Pirates,217.0
113,170,1,8831-0,10209,Minifigure Series 7 [Random Bag],2012,542,0,456,542,Series 7 Minifigures,535.0
114,171,1,610-1,5849,Vintage Car,1973,397,39,549,397,Factory,
115,172,1,8678-1,9945,Ultimate Build Francesco,2011,269,195,521,269,Cars,
116,173,1,41065-1,3434,Rapunzel's Best Day Ever,2016,579,144,598,579,Disney Princess,
117,174,1,30286-1,2135,Christmas Tree,2015,227,65,215,227,Christmas,206.0
118,175,1,8622-1,9893,Nidhiki,2004,347,170,310,347,Titans,324.0
119,177,1,8121-1,9160,Track Marshal,2009,120,47,115,120,Tiny Turbos,112.0
120,179,1,1413-1,881,Rover,2001,135,29,129,135,Life On Mars,126.0
121,180,1,7511-1,8120,Trendy Tote Tangerine,2003,500,94,583,500,Clikits,
122,182,1,8833-7,10245,Downhill Skier - Complete Set,2012,543,9,457,543,Series 8 Minifigures,535.0
123,183,1,435-1,3923,Tipper Truck,1976,416,23,359,416,Construction,411.0
124,185,1,7904-20,8821,Advent Calendar 2006 City (Day 19) Mechanic,2006,220,5,208,220,City,217.0
125,186,1,60134-1,5735,Fun in the park - City People Pack,2016,52,160,48,52,City,50.0
126,187,1,9749-1,10873,NXT Temperature Sensor,2009,259,1,242,259,NXT,258.0
127,188,1,21206-1,1496,Create and Race,2014,590,222,600,590,Fusion,
128,190,1,2824-18,1806,Advent Calendar 2010 City (Day 17) Shower Stall,2010,220,9,208,220,City,217.0
129,191,1,4559387-1,4210,{Power Miners Promotional Polybag},2009,439,4,566,439,Power Miners,
130,192,1,5831-1,5409,Adventurous Puppies,2001,319,16,283,319,Fairy-Tale,318.0
131,193,1,4024-15,3222,Advent Calendar 2003 Creator (Day 14) Heart,2003,223,11,211,223,Creator,217.0
132,194,1,comcon017-1,11107,Super Heroes Unite - Superman - New York Comic-Con 2011 Exclusive,2011,489,5,410,489,Superman,482.0
133,196,1,7553-20,8232,Advent Calendar 2011 City (Day 19) Safe with Gold Bars,2011,220,10,208,220,City,217.0
134,197,1,9871-1,10954,Yellow Beams,1992,1,76,503,1,Technic,
135,198,1,21017-1,1429,Imperial Hotel,2013,252,1187,516,252,Architecture,
136,199,1,70209-1,7052,CHI Mungus,2014,573,64,481,573,Constraction,571.0
137,203,1,Austin-1,11045,"LEGO Store Grand Opening Exclusive Set, Barton Creek Square, Austin, TX",2010,408,82,557,408,LEGO Brand Store,
138,204,1,20205-1,1385,MBA Level Two - Kit 6 Auto Designer,2012,432,188,560,432,Master Building Academy,
139,206,1,5974-1,5526,Galactic Enforcer,2009,141,824,135,141,Space Police III,126.0
140,207,1,40092-1,3088,Reindeer,2014,227,139,215,227,Christmas,206.0
141,208,1,342-1,2530,Station,1968,367,191,327,367,Building,365.0
142,209,1,970600-1,10786,1 x 2 Plate with Slides (Pack of 100),2002,524,100,439,524,Service Packs,507.0
143,210,1,6395-1,6161,Victory Lap Raceway,1988,82,613,78,82,Race,67.0
144,211,1,1136-1,544,"Buffers, Magnetic Couplers",1981,456,6,387,456,Train,443.0
145,212,1,6585-1,6419,Hang-Glider,1998,87,19,83,87,Extreme Team,50.0
146,214,1,3715-1,2783,Flower Stand,1985,390,20,548,390,Fabuland,
147,215,1,7875-1,8760,Backhoe,2007,26,39,23,26,Construction,23.0
148,216,1,1089-1,483,Lego Basic Figures - 24 elements,1985,534,24,449,534,Universal Building Set,507.0
